ID,ALIGN,EYE,HAIR,SEX,ALIVE,APPEARANCES,Year
Secret Identity,Good Characters,Brown Eyes,Bald,Male Characters,Living Characters,122,1961
Secret Identity,,Black Eyes,Black Hair,Male Characters,Living Characters,122,1974
Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,122,2005
Secret Identity,Bad Characters,Brown Eyes,Grey Hair,Male Characters,Deceased Characters,121,1964
Public Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,Living Characters,121,1967
Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,121,1986
Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,121,2002
Secret Identity,Neutral Characters,Green Eyes,Green Hair,Female Characters,Living Characters,120,1984
Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,119,1966
Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,119,1974
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,119,1976
Secret Identity,Neutral Characters,Blue Eyes,Red Hair,Female Characters,Living Characters,119,1994
Public Identity,Good Characters,Gold Eyes,Bald,Male Characters,Deceased Characters,119,2005
Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,119,2005
Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Deceased Characters,118,1968
Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,118,1979
Secret Identity,Bad Characters,Grey Eyes,Bald,Male Characters,Living Characters,116,1968
Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,116,1972
Public Identity,Bad Characters,Blue Eyes,Grey Hair,Male Characters,Deceased Characters,115,1964
Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,115,1967
Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,115,1979
Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,114,1956
Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,114,1983
Public Identity,Bad Characters,Pink Eyes,White Hair,Male Characters,Living Characters,113,1988
Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,113,2003
Secret Identity,Good Characters,Green Eyes,White Hair,Female Characters,Living Characters,112,1977
Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,112,2002
Public Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,Deceased Characters,111,1963
Secret Identity,Bad Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,111,1978
Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,111,1988
Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,111,1990
Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,110,1977
Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,110,1981
Public Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,109,1963
Secret Identity,Good Characters,Variable Eyes,Bald,,Living Characters,109,1988
Public Identity,Bad Characters,Blue Eyes,Grey Hair,Male Characters,Living Characters,108,1980
Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,108,1981
Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,108,1981
Secret Identity,Bad Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Living Characters,108,1984
Secret Identity,Neutral Characters,White Eyes,Silver Hair,Female Characters,Living Characters,108,1985
Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,108,1994
Public Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,107,1964
Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,107,1969
Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,107,1981
Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,106,1948
Secret Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Living Characters,106,1963
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,106,1976
Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,106,1984
Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Living Characters,106,1984
Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,Living Characters,105,1985
Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,105,2003
